
Symbol table '.dynsym' contains 2245 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
    58: 00000000000fdc40    31 FUNC    GLOBAL DEFAULT   13 mkdtemp@@GLIBC_2.2.5
    59: 000000000003b260    60 FUNC    WEAK   DEFAULT   13 srand48_r@@GLIBC_2.2.5
    60: 0000000000036c20    79 FUNC    GLOBAL DEFAULT   13 sighold@@GLIBC_2.2.5
    61: 00000000000ea760    33 FUNC    GLOBAL DEFAULT   13 __sched_getparam@@GLIBC_2.2.5
    62: 00000000000878c0    27 FUNC    GLOBAL DEFAULT   13 __default_morecore@@GLIBC_2.2.5
    63: 000000000011ead0    84 FUNC    GLOBAL DEFAULT   13 iruserok@@GLIBC_2.2.5
    64: 000000000004a620   132 FUNC    GLOBAL DEFAULT   13 cuserid@@GLIBC_2.2.5
    65: 00000000000347a0    36 FUNC    WEAK   DEFAULT   13 isnan@@GLIBC_2.2.5
    66: 000000000003ab60   220 FUNC    WEAK   DEFAULT   13 setstate_r@@GLIBC_2.2.5
    67: 00000000000ac8b0   114 FUNC    WEAK   DEFAULT   13 wmemset@@GLIBC_2.2.5
    68: 0000000000078b60    16 FUNC    GLOBAL DEFAULT   13 _IO_file_stat@@GLIBC_2.2.5
    69: 0000000000096f00   997 FUNC    WEAK   DEFAULT   13 argz_replace@@GLIBC_2.2.5
    70: 00000000000cf460    82 FUNC    WEAK   DEFAULT   13 globfree64@@GLIBC_2.2.5
    71: 00000000001149a0    20 FUNC    WEAK   DEFAULT   13 argp_usage@@GLIBC_2.2.5
    72: 0000000000107eb0    33 FUNC    GLOBAL DEFAULT   13 timerfd_gettime@@GLIBC_2.8
    73: 0000000000194d94     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@@GLIBC_2.12
    74: 0000000000194da0     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@GLIBC_2.4
    75: 0000000000194d9c     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@GLIBC_2.3
    76: 0000000000194d98     4 OBJECT  GLOBAL DEFAULT   16 _sys_nerr@GLIBC_2.2.5
    77: 0000000000107880    33 FUNC    GLOBAL DEFAULT   13 clock_adjtime@@GLIBC_2.14
    78: 00000000003c94e4     4 OBJECT  GLOBAL DEFAULT   34 getdate_err@@GLIBC_2.2.5
    79: 0000000000096be0    76 FUNC    WEAK   DEFAULT   13 argz_next@@GLIBC_2.2.5
    80: 00000000000cc340   896 FUNC    GLOBAL DEFAULT   13 __fork@@GLIBC_2.2.5
    81: 000000000010c300   548 FUNC    GLOBAL DEFAULT   13 getspnam_r@@GLIBC_2.2.5
    82: 00000000000ea7f0    33 FUNC    GLOBAL DEFAULT   13 __sched_yield@@GLIBC_2.2.5
    83: 00000000000bb900    10 FUNC    GLOBAL DEFAULT   13 __gmtime_r@@GLIBC_2.2.5
    84: 0000000000045a50   247 FUNC    GLOBAL DEFAULT   13 l64a@@GLIBC_2.2.5
    85: 000000000007a310   115 FUNC    GLOBAL DEFAULT   13 _IO_file_attach@@GLIBC_2.2.5
    86: 00000000000c7550    27 FUNC    WEAK   DEFAULT   13 wcsftime_l@@GLIBC_2.3
    87: 000000000006ed80   455 FUNC    WEAK   DEFAULT   13 gets@@GLIBC_2.2.5
    88: 000000000006d7a0   311 FUNC    WEAK   DEFAULT   13 fflush@@GLIBC_2.2.5
    89: 000000000012dd30    77 FUNC    GLOBAL DEFAULT   13 _authenticate@@GLIBC_2.2.5
    90: 0000000000131810   378 FUNC    GLOBAL DEFAULT   13 getrpcbyname@@GLIBC_2.2.5
    91: 0000000000077fe0    44 FUNC    GLOBAL DEFAULT   13 putc_unlocked@@GLIBC_2.2.5
    92: 0000000000102490    12 FUNC    GLOBAL DEFAULT   13 hcreate@@GLIBC_2.2.5
    93: 000000000008b160    53 IFUNC   GLOBAL DEFAULT   13 strcpy@@GLIBC_2.2.5
    94: 0000000000045970   210 FUNC    GLOBAL DEFAULT   13 a64l@@GLIBC_2.2.5
    95: 000000000013aa40    58 FUNC    GLOBAL DEFAULT   13 xdr_long@@GLIBC_2.2.5
    96: 00000000000357d0   134 FUNC    WEAK   DEFAULT   13 sigsuspend@@GLIBC_2.2.5
    97: 0000000000020590     2 FUNC    GLOBAL DEFAULT   13 __libc_init_first@@GLIBC_2.2.5
